Label,Primary Evidence Indexes,Secondary Evidence Indexes
Entailment,"Inclusion Criteria:   Female patients with histologically or cytologically confirmed carcinoma of the breast   Patients with advanced/metastatic disease that is not amenable to curative therapy (either surgery or radiation therapy)   Patients must have measurable disease by the RECIST criteria, defined as at least one lesion that can be accurately measured in at least one diameter (at least 10 mm in longest diameter (LD) by spiral computer tomography (CT) scan, or at least 20 mm by standard techniques; If the only measurable lesion is a lymph node, it must measure at least 20 mm in LD. If a single lesion is identified as the target lesion, a cytological or histological confirmation of breast carcinoma is required.   Patients must have had prior treatment with an anthracycline and a taxane (either sequential or in combination) and may have had prior treatment with other agents as well.   Patients must have progressed within six months of the last dose of chemotherapy, or experienced disease progression while receiving chemotherapy for advanced/metastatic disease.   Resolution of all chemotherapy or radiation-related toxicities to less than grade 1 severity   Age  18 years   Eastern Cooperative Oncology Group (ECOG) Performance Status (APPENDIX 4) of 0 or 1   Life expectancy of  3 months   Adequate renal function as evidenced by serum creatinine  1.5 mg/dL or calculated creatinine clearance  50 mL/minute (min) per the Cockcroft and Gault formula   Adequate bone marrow function as evidenced by absolute neutrophil count (ANC)  1.5 x 10^9/L, hemoglobin  10.0 g/dL (a hemoglobin <10.0 g/dL would be acceptable if it can be corrected by growth factor or transfusion), and platelet count  100 x 10^9/L   Adequate liver function as evidenced by bilirubin  1.5 mg/dL and alkaline phosphatase, alanine transaminase (ALT), and aspartate transaminase (AST)  3 times the upper limits of normal (ULN) (in the case of liver metastases  5 x ULN)   Patients willing and able to complete the FACT-B questionnaire, Analgesic Diary, Pain VAS, and the tumor-related symptomatic assessment   Patients willing and able to comply with the study protocol for the duration of the study   A sample from the diagnostic biopsy (paraffin block) must be available   Written informed consent prior to any study-specific screening procedures with the understanding that the patient may withdraw consent at any time without prejudice",nan
Entailment,"Outcome Measurement:    Phase 1: Number of Subjects Reporting Dose-Limiting Toxicities (DLTs)   DLTs are defined as: Any treatment-related Grade  3 non-hematologic clinical (non-laboratory) AE Any treatment-related Grade 3 or Grade 4 non-hematologic lab abnormality if: - Medical intervention is required to treat the patient, or - The abnormality leads to hospitalization, or - The abnormality persists for  7 days. Any treatment-related hematologic toxicity specifically defined as: - Thrombocytopenia Grade 4 for  7 days, or Grade 3 or Grade 4 associated with bleeding or requiring platelet transfusion; - Neutropenia Grade 4 for  7 days, or Grade 3 or 4 associated with infection or febrile neutropenia; - Anemia Grade 4, or Grade 3 or 4 requiring blood transfusion. Any treatment-related AE leading to niraparib dose interruption per the following criteria: - A dose interruption for a non-DLT lab abnormality lasting  14 days. - A dose in interruption per dose modification rules for nonhematologic AE leading to < 80% of an intended dose being administered.   Time frame: During Cycle 1, ie, during the first 21 days of treatment Results 1:    Arm/Group Title: Phase 1: Niraparib 200mg + Pembrolizumab   Arm/Group Description: Niraparib 200 mg/day orally (PO). Pembrolizumab 200 mg intravenously (IV) on Day 1 of each 21-day cycle.   Overall Number of Participants Analyzed: 6   Measure Type: Count of Participants   Unit of Measure: Participants  1  16.7% Results 2:    Arm/Group Title: Phase 1: Niraparib 300mg + Pembrolizumab   Arm/Group Description: Niraparib 300 mg/day orally (PO). Pembrolizumumab 200 mg intravenously (IV) on Day 1 of each 21-day cycle.   Overall Number of Participants Analyzed: 6   Measure Type: Count of Participants   Unit of Measure: Participants  1  16.7%",nan
Contradiction,Adverse Events 1:   Total: 52/112 (46.43%)   Febrile neutropenia * 16/112 (14.29%)   Neutropenia * 7/112 (6.25%)   Anaemia * 1/112 (0.89%)   Cardiac failure * 1/112 (0.89%)   Coronary artery disease * 1/112 (0.89%)   Left ventricular dysfunction * 1/112 (0.89%)   Pericardial effusion * 0/112 (0.00%)   Hyperthyroidism * 1/112 (0.89%)   Diarrhoea * 5/112 (4.46%)   Vomiting * 3/112 (2.68%),nan
Contradiction,"INTERVENTION 1:    Flaxseed   Patients receive 1 Nutrigrad™ flaxseed bar containing 7.5 grams flaxseed, 410 mg lignans,once daily. INTERVENTION 2:    Placebo   Patients Identical looking bar with same calorie and total fat content but without flaxseed or lignans once daily.",nan
Entailment,"Adverse Events 1:   Total: 16/48 (33.33%)   Febrile neutropenia grade 3 3/48 (6.25%)   Neutropenia grade 3 1/48 (2.08%)   Holocraneal cephalea 1/48 (2.08%)   Hypersensibility reaction grade 3 2/48 (4.17%)   Palmoplantar erythrodysesthesia grade 3, stomatitis grade 3 1/48 (2.08%)   Neutropenia grade 4, fever grade 1, oral mucositis grade 3 1/48 (2.08%)   Catheter - related infection grade 3 1/48 (2.08%)",nan
Contradiction,Adverse Events 1:   Left Ventricular Dysfunction 4/218 (1.83%) Adverse Events 2:   Left Ventricular Dysfunction 13/228 (5.70%),Adverse Events 1:   Left ventricular systolic dysfunction 1/82 (1.22%)
Entailment,"Outcome Measurement:    Rate of Breast Related Adverse Events   Investigators evaluated each subject and each reconstructed breast for the occurrence of an adverse event from the first stage of reconstruction through the final follow-up visit. A breast related adverse event was defined as any untoward medical occurrence related to a reconstructed breast.   Time frame: 18 months Results 1:    Arm/Group Title: Meso BioMatrix Acellular Peritoneum Matrix   Arm/Group Description: All subjects had the Meso BioMatrix Acellular Peritoneum Matrix implanted along with a tissue expander during the first stage of breast reconstruction. After tissue expansion, the tissue expander was replaced with a breast implant during the second stage of reconstruction.   Overall Number of Participants Analyzed: 25   Overall Number of Units Analyzed   Type of Units Analyzed: Reconstructed breasts affected: 12",nan
Contradiction,Adverse Events 1:   Total: 19/213 (8.92%)   Pancytopenia 0/213 (0.00%)   Anaemia 1/213 (0.47%)   Atrial fibrillation 0/213 (0.00%)   Cardiac failure congestive 0/213 (0.00%)   Myocardial infarction 0/213 (0.00%)   Supraventricular tachycardia 0/213 (0.00%)   Diarrhoea 0/213 (0.00%)   Colitis 0/213 (0.00%)   Vomiting 1/213 (0.47%)   Nausea 1/213 (0.47%)   Enterocolitis 0/213 (0.00%) Adverse Events 2:   Total: 133/416 (31.97%)   Pancytopenia 1/416 (0.24%)   Anaemia 0/416 (0.00%)   Atrial fibrillation 2/416 (0.48%)   Cardiac failure congestive 1/416 (0.24%)   Myocardial infarction 1/416 (0.24%)   Supraventricular tachycardia 1/416 (0.24%)   Diarrhoea 32/416 (7.69%)   Colitis 14/416 (3.37%)   Vomiting 4/416 (0.96%)   Nausea 3/416 (0.72%)   Enterocolitis 2/416 (0.48%),nan
Entailment,Adverse Events 1:   Hyperthyroidism * 1/112 (0.89%),nan
Entailment,Adverse Events 1:   Total: 5/19 (26.32%)   Pain 3/19 (15.79%)   White blood cells (WBC) 5/19 (26.32%)   Hemoglobin (Hgb) 1/19 (5.26%)   Absolute neutrophil count (ANC) 5/19 (26.32%)   Platelets 3/19 (15.79%)   Elevated Aspartate Aminotransferase (AST) 1/19 (5.26%)   Elevated Alanine Aminotransferase (ALT) 1/19 (5.26%)   Dyspnea 3/19 (15.79%),nan
Contradiction,Adverse Events 1:   Total: 20/93 (21.51%)   Granulocytosis 1/93 (1.08%)   Leukopenia 2/93 (2.15%)   Angina pectoris 0/93 (0.00%)   Atrial fibrillation 1/93 (1.08%)   Cardiopulmonary failure 2/93 (2.15%)   Retinal detachment 1/93 (1.08%)   Diarrhoea 3/93 (3.23%)   Nausea 1/93 (1.08%)   Vomiting 1/93 (1.08%)   Chest pain 1/93 (1.08%)   Death 0/93 (0.00%)   Pyrexia 1/93 (1.08%),nan
Entailment,"Inclusion Criteria:   Female, 18-100 years old   Not pregnant or breastfeeding   Pre-study radiologic documentation of:   size  5 cm   unicentric, unilateral   suspicious mass or calcification   BIRADS classification  IV   location of abnormality > 1 cm from skin   Ductal or Infiltrating Ductal Carcinoma   Grade I-III on final pathology   Good general health   Zubrod Performance Status of 0,1, or 2   No previous chemotherapy   No palpable axillary or supraclavicular lymph nodes   If prior non-breast malignancy, must have > 5 year disease-free survival Exclusion Criteria:   Patient < 18 y/o or > 100 y/o   Pregnant or breastfeeding   Male   Breast implants   Multicentric disease or bilateral disease   Lesions > 5 cm in diameter   Lesions < 1.0 cm from the skin   Previous prior radiation to the breast   Need for mastectomy   Diffuse microcalcifications (as determined by the Investigator)",nan
Contradiction,"Inclusion Criteria:   Diagnosis of breast cancer   Part 1 only: Surgery for breast cancer within the past eight weeks (mastectomy or lumpectomy with either sentinel or axillar dissection), including those women with a history of previous surgery for breast cancer, radiation therapy or chemotherapy   Part 2 only: Completion of surgery and radiation therapy for breast cancer within the past six weeks.   Home access to internet from stationary computer, lab top or tablet   Ability to use internet   Ability to read and understand Danish Exclusion Criteria:   Surgery for breast cancer with immediate breast reconstruction   Diagnosis of primary lymphedema   Metastatic or inflammatory breast cancer   Planned use of chemotherapy within the next 6 weeks   Surgical complications: infection, drainage issues, seroma, hematoma   Severe physical, cognitive, or psychiatric illness causing inability to follow the study protocol: i.e. severe depression, anxiety, dementia, poor physical health with likely possibility of hospitalization within the next twelve weeks.   Planned hospitalization or surgery within the next twelve weeks   Participation in another clinical trial with a rehabilitation or exercise intervention",Inclusion Criteria:   Participants can be from any racial or ethnic origin.
Entailment,Exclusion Criteria:   Malabsorption syndrome   Require intravenous (IV) alimentation,nan
Entailment,"Inclusion Criteria:   Demonstrate adequate renal, hepatic function (Liver function tests (ALT, AST, alkaline phosphatase and total bilirubin)) should be less than 2.5x upper limits of normal (ULN). Serum creatinine should be less than 1.7x ULN.",Inclusion Criteria:   Glomerular filtration rate> 60
Contradiction,"INTERVENTION 1:    Arm I (Lymphedema Education)   Six weeks after surgery, patients receive a brief initial post-operative care session describing lymphedema risk and prevention through oral instruction and written materials. Patients complete physical assessments and questionnaires at 6 weeks and at 6, 12, and 18 months. Patients are also contacted by telephone at 9 and 15 months. INTERVENTION 2:    Arm II (Lymphedema Education, Physical Therapy)   Patients receive lymphedema education and complete physical assessments and questionnaires as in Arm I. Patients also complete a personalized physical therapy intervention, receive a refrigerator magnet, and a 15-minute video that reinforces information and exercises.",nan
Entailment,"Exclusion Criteria   Pulmonary hemorrhage or bleeding event  grade 2 within   4 weeks of the first dose of study treatment, or any other   hemorrhage or bleeding event  grade 3 within 4 weeks of the   first dose of study treatment. Exclusion Criteria:   Unstable angina (anginal symptoms at rest) or new onset angina   (i.e., began within the last 3 months).",nan
Contradiction,"INTERVENTION 1:    Treatment (Biological Therapy, Chemo)   Patients receive Abraxane IV over 30 minutes on days 1, 8, and 15 and apply topical imiquimod to cutaneous lesions QD on days 1-4, 8-11, 15-18, and 22-25. Treatment repeats every 28 days for up to 3 cycles in the absence of disease progression or unacceptable toxicity.   imiquimod: Given topically   Abraxane: Given IV   laboratory biomarker analysis: Correlative studies   RNA analysis: Correlative studies   immunoenzyme technique: Correlative studies",nan
Contradiction,Adverse Events 1:   Total: 5/32 (15.63%)   Febrile neutropenia 1/32 (3.13%)   Supraventricular tachycardia 1/32 (3.13%)   Hypersensitivity 2/32 (6.25%)   Catheter site infection 1/32 (3.13%)   Confusional state 1/32 (3.13%),Adverse Events 1:   Total: 285/752 (37.90%)   Anaemia 2/752 (0.27%)   Disseminated intravascular coagulation 2/752 (0.27%)   Febrile neutropenia 51/752 (6.78%)   Neutropenia 47/752 (6.25%)   Thrombocytopenia 2/752 (0.27%)   Atrial fibrillation 1/752 (0.13%)   Atrial flutter 0/752 (0.00%)   Cardiac failure congestive 1/752 (0.13%)   Left ventricular dysfunction 0/752 (0.00%) Adverse Events 2:   Total: 117/382 (30.63%)   Anaemia 3/382 (0.79%)   Disseminated intravascular coagulation 0/382 (0.00%)   Febrile neutropenia 11/382 (2.88%)   Neutropenia 20/382 (5.24%)   Thrombocytopenia 0/382 (0.00%)   Atrial fibrillation 1/382 (0.26%)   Atrial flutter 1/382 (0.26%)   Cardiac failure congestive 0/382 (0.00%)   Left ventricular dysfunction 1/382 (0.26%)
Entailment,Adverse Events 1:   Total: 20/52 (38.46%)   Anaemia 0/52 (0.00%)   Pancytopenia 1/52 (1.92%)   Acute myocardial infarction 0/52 (0.00%)   Atrial fibrillation 0/52 (0.00%)   Cardiac failure 1/52 (1.92%)   Cardiogenic shock 1/52 (1.92%)   Palpitations 0/52 (0.00%)   Pericardial effusion 0/52 (0.00%)   Right ventricular failure 1/52 (1.92%)   Abdominal pain 0/52 (0.00%)   Ascites 3/52 (5.77%) Adverse Events 2:   Total: 25/49 (51.02%)   Anaemia 2/49 (4.08%)   Pancytopenia 0/49 (0.00%)   Acute myocardial infarction 1/49 (2.04%)   Atrial fibrillation 1/49 (2.04%)   Cardiac failure 0/49 (0.00%)   Cardiogenic shock 0/49 (0.00%)   Palpitations 1/49 (2.04%)   Pericardial effusion 4/49 (8.16%)   Right ventricular failure 0/49 (0.00%)   Abdominal pain 1/49 (2.04%)   Ascites 0/49 (0.00%),nan
Entailment,"INTERVENTION 1:    Niraparib 200 mg   Participants received niraparib 200 milligrams (mg) orally once daily in 28-day treatment cycles. After 2 cycles, participants either underwent surgery, received additional cycles of niraparib (maximum of 6 cycles total), or received neoadjuvant chemotherapy, at physician's discretion. A breast magnetic resonance imaging (MRI) was performed at the end of cycle 2 and breast ultrasounds were performed at the end of each cycle, including any additional cycles beyond cycle 2. After completion of all neoadjuvant therapy participants proceeded to surgery, at which time pathological complete response (pCR) was assessed.",nan
Entailment,Adverse Events 1:   Total: 24/32 (75.00%),nan
Entailment,"Outcome Measurement:    Percent Change From Baseline to 2 Weeks in Ki67 Expression   Tumor tissue collected through a core biopsy at baseline and at the end of cycle 1 was used to determine Ki67 expression. Ki67 expression is defined as the percent of cells staining positive by validated central assay.   Time frame: Baseline, 2 Weeks",Outcome Measurement:    Feasibility of PBI Directed External Radiotherapy as Measured by Percentage of Participants Achieving a Dosimetrically Satisfactory Treatment Plan   -The study will be deemed infeasible if more than 4 patients cannot be given treatment because her tumor is such that a dosimetrically satisfactory treatment plan cannot be devised for her.   Time frame: Within 1 year of protocol registration
Contradiction,INTERVENTION 1:    Triptorelin Plus Tamoxifen   Determination of estrogen levels in blood samples from patients being treated with triptorelin plus tamoxifen for 5 years. INTERVENTION 2:    Triptorelin Plus Exemestane   Determination of estrogen levels in blood samples from patients being treated with triptorelin plus exemestane for 5 years.,"INTERVENTION 1:    LBH589 With Capecitabine   MTD, LBH589 with Capecitabine   LBH589: LBH589 will be evaluated when administered twice weekly at the following possible dose levels: 20 mg, 30 mg, 45 mg, and 60 mg. Capecitabine will be paired with LBH589 and will range in dose from 825 mg/m2 to 1250 mg/m2 orally BID 14 of every 21 days. Treatment cycles will be 21 days in length. Once determined safe, 10 additional patients will be treated at the determined MTD to further assess safety.   Capecitabine: Capecitabine will be administered orally twice daily for 14 days out of every 21 days. INTERVENTION 2:    LBH589 and Lapatinib   LBH589 and Lapatinib   LBH589: LBH589 will be evaluated when administered twice weekly at the following possible dose levels: 20 mg, 30 mg, 45 mg, and 60 mg. Capecitabine will be paired with LBH589 and will range in dose from 825 mg/m2 to 1250 mg/m2 orally BID 14 of every 21 days. Treatment cycles will be 21 days in length. Once determined safe, 10 additional patients will be treated at the determined MTD to further assess safety.   Lapatinib: Lapatinib, 1000 mg PO daily will be added to this combination."
Entailment,"INTERVENTION 1:    Participants With Stage 0-III Breast Cancer   Women with Stage 0-III breast cancer, treated with breast conserving surgery or mastectomy and clear margins, will receive 15 doses of radiation over three weeks.   Hypofractionated Simultaneous Integrated Boost Radiotherapy: Participants will receive radiotherapy treatments to the whole breast or chest wall to a dose of 2.66 Gy per day x 15 fractions simultaneously with a boost treatment. The boost treatment will be given on the same days as the whole breast treatment. The lumpectomy cavity + scar (in lumpectomy patients) or chest wall scar (mastectomy patients) will receive 0.54 Gy per day x 15 fractions.",INTERVENTION 1:    Arm I (Omega-3-fatty Acid)   Patients receive oral omega-3-fatty acid twice daily (BID) or three times daily (TID) for 24 weeks in the absence of disease progression or unacceptable toxicity INTERVENTION 2:    Arm II (Placebo)   Patients receive oral placebo BID or TID for 24 weeks in the absence of disease progression or unacceptable toxicity
Contradiction,Adverse Events 1:   Total: 33/132 (25.00%)   Febrile neutropenia 1/132 (0.76%)   Haematotoxicity 1/132 (0.76%)   Neutropenia 1/132 (0.76%)   Sinus bradycardia 1/132 (0.76%)   Tachycardia 1/132 (0.76%)   Abdominal pain 2/132 (1.52%)   Abdominal pain upper 1/132 (0.76%)   Constipation 1/132 (0.76%)   Large intestinal obstruction 1/132 (0.76%)   Nausea 3/132 (2.27%),Adverse Events 1:   Total: 3/50 (6.00%)   Skin lymphangitis  1/50 (2.00%)   Bone marrow suppression  0/50 (0.00%)   Allergic shock  1/50 (2.00%)   Deep incisional SSI  1/50 (2.00%) Adverse Events 2:   Total: 1/51 (1.96%)   Skin lymphangitis  0/51 (0.00%)   Bone marrow suppression  1/51 (1.96%)   Allergic shock  0/51 (0.00%)   Deep incisional SSI  0/51 (0.00%)
Entailment,"Inclusion Criteria:   Must be 4 weeks since all of the following treatments (recovered from toxicity of prior treatment to Grade 1, excluding alopecia):   immunotherapy;",nan
Contradiction,"Outcome Measurement:    Progression-Free Survival (PFS)   PFS defined as time from date of randomization to date of the first documentation of objective tumor progression or death due to any cause, whichever occurred first. PFS calculated as (Months) ",nan
Contradiction,"INTERVENTION 1:    6-Mercaptopurine and Methotrexate (6MP/MTX)   6-Mercaptopurine: 6MP 75mg/m2 body surface area, administered orally (PO) once a day (od) in the morning 1 hour after eating, on a continuous schedule. One cycle is 28 days. Treatment is given continuously until disease progression.   Methotrexate: Methotrexate 20mg/m2 will be taken orally, once a week, in the morning. One cycle is 28 days. Treatment is given continuously until disease progression.   Update: These original doses were reduced following an Urgent Safety Measure in August 2012 due to a large proportion of patients requiring a dose reduction or treatment delay due to incidences of myelo-suppression.   The reduced doses were 55mg/m2 of 6MP orally once a day, and 15mg/m2 of Methotrexate orally once a week.",nan
Entailment,INTERVENTION 1:    Samarium 153-EDTMP + Stem Cell Transplant   Samarium 153-EDTMP tracer dose ,"INTERVENTION 1:    Exemestane   Participants diagnosed with breast cancer who remained disease-free after previously receiving 2 to 3 years of tamoxifen 20 milligram (mg) or 30 mg tablet-in-capsule orally once daily as per standard medical practice, received exemestane (Aromasin) 25 mg tablet-in-capsule orally once daily for the remainder of 5-year period. INTERVENTION 2:    Tamoxifen   Participants diagnosed with breast cancer who remained disease-free after previously receiving 2 to 3 years of tamoxifen 20 mg or 30 mg tablet-in-capsule orally once daily as per standard medical practice, received the same dose of tamoxifen tablet-in-capsule orally once daily for the remainder of 5-year period."
Entailment,"Inclusion Criteria:   Demonstrate adequate renal, hepatic function (Liver function tests (ALT, AST, alkaline phosphatase and total bilirubin)) should be less than 2.5x upper limits of normal (ULN). Serum creatinine should be less than 1.7x ULN.",Inclusion Criteria:   Glomerular filtration rate> 60
Entailment,Inclusion Criteria:   Heart Rate > 60 bpm,nan
Entailment,INTERVENTION 1:    Arm I (Minocycline Hydrochloride)   Patients receive minocycline hydrochloride PO BID on days 1-7. Treatment repeats every 7 days for up to 12 courses in the absence of disease progression or unacceptable toxicity. INTERVENTION 2:    Arm II (Placebo)   Patients receive a placebo PO BID on days 1-7. Treatment repeats every 7 days for up to 12 courses in the absence of disease progression or unacceptable toxicity.,"INTERVENTION 1:    SCPR Intervention   Young breast cancer participants will receive their SCPR and access to additional web-based educational reproductive health information, including resource lists of helpful websites, followed by regular reproductive health prompts and study adherence reminders for 24 weeks.   Reproductive Health Survivorship Care Plan (SCPR): The reproductive health survivorship care plan (SCPR) is a web-based educational tool that will include information on how to manage various reproductive health issues such as hot flashes, fertility concerns, contraception practices, and sexual function. The intervention also includes additional web-based information and resource lists, text-based reproductive health and study adherence INTERVENTION 2:    Control   Young breast cancer participants randomized to the waitlist control arm will receive access to the web-based resources and study adherence reminders. At completion of the 24 weeks of follow up, they will have access to their SCPR.   Control: Web-based resource lists and text-based study adherence reminders"
Entailment,"INTERVENTION 1:    Arm I   Patients receive dose-intensive chemotherapy comprising doxorubicin hydrochloride IV over 10-15 minutes on day 1, oral cyclophosphamide once daily on days 1-7, and filgrastim subcutaneously on days 2-7. Courses repeat every 7 days for up to 12 weeks in the absence of disease progression or unacceptable toxicity. Beginning 1 week later, patients then receive paclitaxel albumin-stabilized nanoparticle formulation IV over 30 minutes once a week for 12 weeks in the absence of disease progression or unacceptable toxicity. Patients with HER-2/neu positive disease also receive trastuzumab IV over 30-90 minutes once a week for 1 year in the absence of disease progression or unacceptable toxicity.   doxorubicin hydrochloride: Given IV   cyclophosphamide: Given orally   filgrastim: Given SC   paclitaxel albumin-stabilized nanoparticle formulation: Given IV   trastuzumab: Given IV   laboratory biomarker analysis: Correlative studies   quality-of-life assessment: Ancillary studies",nan
Contradiction,"Inclusion Criteria:   Female subjects of childbearing potential (Section 5.7.2) must be willing to use an adequate method of contraception as outlined in Section 5.7.2 - Contraception, for the course of the study through 120 days after receiving the study medication.",nan
Contradiction,Adverse Events 1:   Febrile neutropenia 3/364 (0.82%),Adverse Events 1:   Febrile Neutropenia *0/25 (0.00%)
Contradiction,"Adverse Events 1:   Total: 6/62 (9.68%)   Musculoskeletal * 1/62 (1.61%)   Mood Alteration: Depression * 1/62 (1.61%)   renal - Other * 1/62 (1.61%)   Obstruction, GU: Uterus * 1/62 (1.61%)   Sexual * 0/62 (0.00%)   Pulmonary/Upper Respiratory: Dyspnea * 1/62 (1.61%)   Ulceration * 1/62 (1.61%) Adverse Events 2:   Total: 1/64 (1.56%)   Musculoskeletal * 0/64 (0.00%)   Mood Alteration: Depression * 0/64 (0.00%)   renal - Other * 0/64 (0.00%)   Obstruction, GU: Uterus * 0/64 (0.00%)   Sexual * 1/64 (1.56%)   Pulmonary/Upper Respiratory: Dyspnea * 0/64 (0.00%)   Ulceration * 0/64 (0.00%)",nan
Entailment,Adverse Events 1:   Total: 0/3 (0.00%)   Febrile Neutropenia * 0/3 (0.00%)   Neutropenia * 0/3 (0.00%)   Sudden Death * 0/3 (0.00%)   Bacterial Infection * 0/3 (0.00%)   Bronchitis * 0/3 (0.00%)   Sepsis * 0/3 (0.00%)   Lymphoedema * 0/3 (0.00%) Adverse Events 2:   Total: 6/41 (14.63%)   Febrile Neutropenia * 1/41 (2.44%)   Neutropenia * 1/41 (2.44%)   Sudden Death * 1/41 (2.44%)   Bacterial Infection * 1/41 (2.44%)   Bronchitis * 1/41 (2.44%)   Sepsis * 1/41 (2.44%)   Lymphoedema * 1/41 (2.44%),nan
Contradiction,Adverse Events 1:   Total: 6/18 (33.33%)   Skin infection  [1]2/18 (11.11%)   Radiation dermatitis 2 [1]4/18 (22.22%),nan
Entailment,"INTERVENTION 1:    3D HI and SHI of UCA   Perflutren injection, suspension (IV)0.25 ml followed by 3D Harmonic imaging (HI) then (IV) 20 micro-l/kg followed by 3D subharmonic imaging (SHI)   3D HI and SHI of UCA: Perflutren injection, suspension (IV)0.25 ml followed by 3D Harmonic imaging (HI) then (IV) 20 micro-l/kg followed by 3D subharmonic imaging (SHI)",INTERVENTION 1:    MAESTRO Baseline
Contradiction,Adverse Events 1:   Total: 6/110 (5.45%)   Sudden death unexplained 1/110 (0.91%)   General body pain 1/110 (0.91%)   Lymphangitis 1/110 (0.91%)   Femur fracture 1/110 (0.91%)   Parathyroid adenoma 1/110 (0.91%)   Depression worsened 1/110 (0.91%)   Calculus urinary bladder 1/110 (0.91%)   Pneumopathy 1/110 (0.91%),Adverse Events 1:   Total: 4/26 (15.38%)   Disseminated intravascular coagulation 1/26 (3.85%)   Cardiac failure congestive 1/26 (3.85%)   Breast cellulitis 1/26 (3.85%)   Cellulitis 1/26 (3.85%)   Acute myeloid leukaemia 1/26 (3.85%)   Seizure 0/26 (0.00%)   Pulmonary embolism 1/26 (3.85%) Adverse Events 2:   Total: 2/24 (8.33%)   Disseminated intravascular coagulation 0/24 (0.00%)   Cardiac failure congestive 0/24 (0.00%)   Breast cellulitis 0/24 (0.00%)   Cellulitis 1/24 (4.17%)   Acute myeloid leukaemia 0/24 (0.00%)   Seizure 1/24 (4.17%)   Pulmonary embolism 0/24 (0.00%)
Contradiction,"Outcome Measurement:    Phase 1 - Maximum Tolerated Dose (MTD) in Milligrams (mg)   MTD of 1-methyl-d-tryptophan (indoximod) given by mouth (PO), twice a day (BID), with up to 6 fixed doses Ad.p53 DC vaccinations every 2 weeks (q2wks). This phase 1 study used a 3+3 design with 7 indoximod dose levels (DL) (100 mg, 200 mg, 400 mg, 800 mg daily (QD) then 800 mg, 1,200 mg, and 1,600 mg PO BID +up to 6 fixed dose Ad.p53 DC vaccinations q2wks. Toxicity was assessed according to the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) v4.0. The MTD is the highest dose level below the maximally administered dose (MAD) that is safely tolerated among 6 treated patients, that is, 0 or 1 out of 6 patients experiences a dose limiting toxicity (DLT).   Time frame: Up to 4 weeks Results 1:    Arm/Group Title: Treatment (Vaccine Therapy, 1-methyl-d-tryptophan)   Arm/Group Description: Participants receive adenovirus-p53 transduced dendritic cell (Ad.p53-DC) vaccine ID in weeks 1, 3, 5, and 10, and then every 3 weeks for 6 total doses. Participants also receive 1-methyl-d-tryptophan (indoximod) orally (PO) daily (QD) on days 1-21. Treatment with 1-methyl-d-tryptophan repeats every 28 days (patients with stable disease) for up to 12 courses in the absence of disease progression or unacceptable toxicity.   adenovirus-p53 transduced dendritic cell (DC) vaccine: Given intradermally (ID)   1-methyl-d-tryptophan: Given orally (PO)   Laboratory biomarker analysis: Correlative studies   Overall Number of Participants Analyzed: 30   Measure Type: Number   Unit of Measure: indoximod dose in mg  1600",nan
Contradiction,INTERVENTION 2:    Pilocarpine 2 Times Per Day   Patients receive 5mg of Pilocarpine 2 times per day for 6 weeks.,INTERVENTION 1:    Itraconazole   oral itraconazole 200mg a day until disease progression or unacceptable toxicities.
Contradiction,Adverse Events 1:   Total: 13/50 (26.00%)   Febrile neutropenia 3/50 (6.00%)   Neutropenia 1/50 (2.00%)   Pancreatitis 1/50 (2.00%)   Cholangitis 1/50 (2.00%)   Cholelithiasis 1/50 (2.00%)   Anaphylactic reaction  [1]1/50 (2.00%)   Pneumonia 1/50 (2.00%)   Pneumonitis chemical 1/50 (2.00%)   Spinal compression fracture 1/50 (2.00%)   Dehydration 1/50 (2.00%)   Electrolyte imbalance 1/50 (2.00%),Adverse Events 1:   Total: 1/3 (33.33%)   FEBRILE NEUTROPENIA 0/3 (0.00%)   LYMPH NODE PAIN 0/3 (0.00%)   NEUTROPHIL COUNT DECREASED 0/3 (0.00%)   THROMBOCYTOPENIA 0/3 (0.00%)   CHEST PAIN 0/3 (0.00%)   DEHYDRATION 0/3 (0.00%)   PLEURAL EFFUSION 1/3 (33.33%)   PNEUMONITIS 0/3 (0.00%)   PULMONARY INFILTERATES 0/3 (0.00%)   ALOPECIA 0/3 (0.00%)
Entailment,Exclusion Criteria:   Prior anthracyclines as part of prior anticancer therapy.,nan
Contradiction,Exclusion Criteria:   To have interstitial pneumonia or pulmonary fibrosis,Inclusion Criteria:   Age: no limit
Contradiction,Adverse Events 1:   Total: 14/58 (24.14%)   Constipation 1/58 (1.72%)   Vomiting 1/58 (1.72%)   Upper gastrointestinal haemorrhage 1/58 (1.72%)   Asthenia 1/58 (1.72%)   Chest pain 1/58 (1.72%)   Pain 1/58 (1.72%)   Sepsis 2/58 (3.45%)   Fall 1/58 (1.72%)   Spinal compression fracture 1/58 (1.72%)   Neutrophil count decreased 1/58 (1.72%)   Dehydration 1/58 (1.72%)   Hypovolaemia 1/58 (1.72%),nan
